Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
242,,49,242,,"Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",Internet Company,Sugon,China,2017,Industry,43200,,741.8,1520.64,4848000,,,900,Submitted,0.824,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
243,179,45,94,Numerical Materials Simulator,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",National Institute for Materials Science,HPE,Japan,2015,Research,25056,,741.748,1002.24,1804032,,,405,Submitted,1.831,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Eastern Asia,Asia
244,,49,244,,"Lenovo RD550, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service (B),Lenovo,China,2017,Industry,38400,,740.352,1536,2771328,,,900,Derived,0.823,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo RD550,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
245,180,46,114,HiperGator 2.0,"PowerEdge C6320, Xeon E5-2698v3 16C 2.3GHz, Infiniband",University of Florida,Dell,United States,2015,Academic,29184,,738.065,1073.971,3500160,,,384,Submitted,1.922,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Redhat Enterprise Linux 6.5,Linux,None,16,Intel Xeon E5 (Haswell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband,North America,Americas
246,181,45,95,Earth System Numerical Simulator,"Sugon Cluster TC4600E, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","LASG/Institute of Atmospheric Physics, CAS",Sugon,China,2015,Academic,24912,,738,996.48,4223000,,6.3,540,Submitted,1.367,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Sugon Cluster TC4600E,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
247,182,48,182,,"Sugon TC6000, Xeon E5-2690v4 14C 2.6GHz, 10G Ethernet",Government,Sugon,China,2016,Government,35840,,734.7,1490.944,4220000,,,576,Submitted,1.276,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,CentOS,Linux,None,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
248,183,48,183,,"HC2000 Cluster, Xeon E5-2620v3 6C 2.4GHz, Infiniband FDR, NVIDIA Tesla K40",Government,Sugon,China,2016,Government,14400,12000,731.2,1236.16,1616000,,,400,Submitted,1.828,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,CentOS,Linux,NVIDIA Tesla K40,6,Intel Xeon E5 (Haswell),HC2000 Cluster,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
249,,49,249,Endeavor II,"Intel Cluster, Intel Xeon Phi 7250F 68C 1.4GHz, Intel Omni-Path",Intel,Intel,United States,2016,Industry,30056,,730.633,1346.509,2156784,,,194.48,Submitted,3.757,Cluster,Intel Xeon Phi 7250F 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,None,68,Intel Xeon Phi,Intel Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,Americas
250,184,46,116,,"Inspur TS10000 HPC Server, Intel Xeon E5-2650v2  8C 2.6GHz, 10G Ethernet, NVIDIA Tesla K40",Internet Service A,Inspur,China,2015,Industry,15640,10200,730.1,1085.552,1475127,,,225,Submitted,3.245,Cluster,Intel Xeon E5-2650v2  8C 2.6GHz,Intel IvyBridge,2600,CentOS,Linux,NVIDIA Tesla K40,8,Intel Xeon E5 (IvyBridge),Inspur TS10000 HPC Server,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia
251,,49,251,,"Sugon TC6000, Xeon E5-2650v3 10C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2016,Industry,40000,,725,1472,5144000,,,990,Submitted,0.732,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,CentOS,Linux,None,10,Intel Xeon E5 (Haswell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
252,190,48,190,,"Lenovo RD450, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2016,Industry,36864,,721.06,1474.56,3325632,,,864,Derived,0.835,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
253,191,48,191,,"Lenovo RD450, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2016,Industry,36864,,721.06,1474.56,3325632,,,864,Derived,0.835,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
254,192,48,192,,"Lenovo RD450, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2016,Industry,36864,,721.06,1474.56,3325632,,,864,Derived,0.835,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
255,185,48,185,,"Lenovo RD450, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2016,Industry,36864,,721.06,1474.56,3325632,,,864,Derived,0.835,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
256,186,48,186,,"Lenovo RD450, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2016,Industry,36864,,721.06,1474.56,3325632,,,864,Derived,0.835,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
257,187,48,187,,"Lenovo RD450, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2016,Industry,36864,,721.06,1474.56,3325632,,,864,Derived,0.835,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
258,188,48,188,,"Lenovo RD450, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2016,Industry,36864,,721.06,1474.56,3325632,,,864,Derived,0.835,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
259,189,48,189,,"Lenovo RD450, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2016,Industry,36864,,721.06,1474.56,3325632,,,864,Derived,0.835,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
260,193,41,36,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Indian Institute of Tropical Meteorology,IBM,India,2013,Research,38016,,719.22,790.733,,,,789.66,Submitted,0.911,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,South-central Asia,Asia
261,194,39,100,Cetus,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",DOE/SC/Argonne National Laboratory,IBM,United States,2012,Research,65536,,715.551,838.861,,,,328.75,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
262,195,39,30,Zumbrota,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",EDF R&D,IBM,France,2012,Industry,65536,,715.551,838.861,,,,328.75,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
263,196,40,68,BGQ,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",SOSCIP/LKSAVI/University of Toronto,IBM,Canada,2012,Academic,65536,,715.551,838.861,,,,328.75,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
264,197,42,47,EPFL Blue Brain IV,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Swiss National Supercomputing Centre (CSCS),IBM,Switzerland,2013,Research,65536,,715.551,838.861,,,,328.75,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
265,198,39,31,Avoca,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Victorian Life Sciences Computation Initiative,IBM,Australia,2012,Research,65536,,715.551,838.861,,,,328.75,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Australia and New Zealand,Oceania
266,,49,266,Endeavor I,"Intel Cluster, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Intel,Intel,United States,2017,Industry,14080,,715.077,1081.344,2693760,,,223.52,Submitted,3.199,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,Intel Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,Americas
267,199,48,199,,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2660v3 10C 2.6GHz, Infiniband FDR",Volvo Personvagnar AB,HPE,Sweden,2016,Industry,20360,,712.357,846.976,,,,1221.6,Derived,0.583,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Cluster Platform 3000 BL460c Gen9,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,Northern Europe,Europe
268,,49,268,,"Cluster Platform DL360, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Web Company (F),HPE,United States,2017,Industry,31360,,710.118,1204.224,,,,896,Derived,0.793,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
269,200,42,49,,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband, NVIDIA K20x",Max-Planck-Gesellschaft MPI/IPP,Lenovo/IBM,Germany,2013,Research,15840,9240,709.7,1013.1,1048320,,,269.94,Submitted,2.629,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,Western Europe,Europe
270,201,48,201,,"Huawei XH321 V3/XH620 V3 Cluster, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDR",Manufacturing Company C,Huawei,Germany,2016,Industry,24136,,709.139,926.822,3320000,,,296,Submitted,2.396,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Huawei XH321 V3 Cluster,Huawei Cluster,Infiniband,Infiniband FDR,Western Europe,Europe
271,202,48,202,Owens,"Dell PowerEdge C6320/R730, Xeon E5-2680v4 14C 2.4GHz, Infiniband EDR",Ohio Supercomputer Center,Dell,United States,2016,Academic,22372,,705.969,859.085,3459830,,,323.5,Submitted,2.182,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,RHEL 7.2,Linux,None,14,Intel Xeon E5 (Broadwell),Dell PowerEdge C6320/R730,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,Americas
272,203,40,135,Gyre,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",National Centers for Environment Prediction,IBM,United States,2012,Research,37312,,705.902,776.09,,,,775.04,Submitted,0.911,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
273,204,40,136,Tide,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",National Centers for Environment Prediction,IBM,United States,2012,Research,37312,,705.902,776.09,,,,775.04,Submitted,0.911,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
274,205,45,135,BEM,"Actina Solar 820 S6, Xeon E5-2670v3/E5-2697v3 14C/12C 2.6/2.3GHz, Infiniband FDR",Wroclaw Centre for Networking and Supercomputing,ACTION,Poland,2015,Academic,22656,,695.59,859.546,2655300,,,353,Submitted,1.971,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Scientific Linux,Linux,None,12,Intel Xeon E5 (Haswell),Actina Solar 820 S6,ACTION Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
275,206,48,206,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Software Company (M),HPE,United States,2016,Industry,30600,,695.359,1175.04,,,,1020,Derived,0.682,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
276,207,48,207,,"Atipa HPC Linux Cluster, Xeon E5-2683 v4  16C 2.1GHz, Infiniband FDR",DOE/NNSA/Naval Nuclear Laboratory,Atipa,United States,2016,Government,23168,,692.07,778.445,3033024,430000,,285,Submitted,2.428,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,RHEL 6.8,Linux,None,16,Intel Xeon E5 (Broadwell),Atipa HPC Linux Cluster,Atipa Cluster,Infiniband,Infiniband FDR,North America,Americas
277,208,48,208,,"Atipa HPC Linux Cluster, Xeon E5-2683 v4  16C 2.1GHz, Infiniband FDR",DOE/NNSA/Naval Nuclear Laboratory,Atipa,United States,2016,Government,23168,,692.07,778.445,3033024,430000,,285,Submitted,2.428,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,RHEL 6.8,Linux,None,16,Intel Xeon E5 (Broadwell),Atipa HPC Linux Cluster,Atipa Cluster,Infiniband,Infiniband FDR,North America,Americas
278,209,46,128,,"Lenovo ThinkServer RD650, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",Internet Service (B),Lenovo,China,2015,Industry,60000,,687.52,2304,6000000,,,3750,Derived,0.183,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,6,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
279,210,47,150,Thor,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",US Air Force,HPE,United States,2016,Classified,22560,,686.484,902.4,2426112,,12.7,1128,Derived,0.609,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform 3000 BL460c Gen9,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,North America,Americas
280,211,48,211,Occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Centre Informatique National (CINES),Bull,France,2016,Academic,19488,,685.985,810.701,2117568,,,580,Derived,1.183,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
281,212,45,105,GALILEO,"IBM NeXtScale nx360M4, Xeon E5-2630v3 8C 2.4GHz, Infiniband QDR, Intel Xeon Phi 7120P",CINECA,IBM/Lenovo,Italy,2015,Academic,50232,44408,684.252,1103.066,2210560,,,2825.55,Derived,0.242,Cluster,Xeon E5-2630v3 8C 2.4GHz,Intel Haswell,2400,Linux,Linux,Intel Xeon Phi 7120P,8,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M4,NeXtScale,Infiniband,Infiniband QDR,Southern Europe,Europe
282,,49,282,DH-DPSystem,"HC2000 Cluster, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet, NVIDIA Tesla P4",IT Service Provider,Sugon,China,2017,Industry,36000,,681.8,1382.4,6501000,,,1755,Submitted,0.388,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,CentOS,Linux,NVIDIA Tesla P4,6,Intel Xeon E5 (Haswell),HC2000 Cluster,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
283,213,47,152,,"Apollo 6000 XL230a, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Energy Company,HPE,United States,2016,Industry,22368,,680.642,894.72,,,,1234.9,Derived,0.551,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Apollo 6000 XL230a,HP Apollo,Infiniband,Infiniband FDR,North America,Americas
284,214,47,153,,"Lenovo x240 M5, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Nanjing University,Lenovo,China,2016,Academic,21504,,679.87,894.566,2394624,,,672,Derived,1.012,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Lenovo x240 M5,Lenovo Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
285,215,48,215,,"CH121 V3 Cluster, Xeon E5-2680v3 12C 2.5GHz, 10G Ethernet",Public Cloud Service B,Huawei,China,2016,Industry,34992,,679.62,1399.68,8320000,,,552,Submitted,1.231,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),CH121 V3 Cluster,Huawei Cluster,10G,10G Ethernet,Eastern Asia,Asia
286,216,47,156,IntelCluster,"Sugon TC4600, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR/NVIDIA K40",Government,Sugon,China,2016,Government,23520,,672.6,940.8,3601000,,,411,Submitted,1.636,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,None,12,Intel Xeon E5 (Haswell),Sugon TC4600,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
287,217,48,217,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,24360,,671.39,935.424,,,,812,Derived,0.827,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
288,,49,288,Government K1,"Lenovo NeXtScale nx360M5, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Government,Lenovo,China,2017,Government,36400,,670.925,1397.76,2884416,,,1170,Derived,0.573,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,10G,10G Ethernet,Eastern Asia,Asia
289,218,48,218,,"Cluster Platform DL360, Xeon E5-2660v3 10C 2.6GHz, 10G Ethernet",IT Services Provider ,HPE,United States,2016,Industry,26740,,666.33,1112.384,,,,1069.6,Derived,0.623,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
290,219,48,219,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,24120,,664.775,926.208,,,,804,Derived,0.827,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
291,221,47,155,,"Cluster Platform DL380, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Software Company (M),HPE,Netherlands,2016,Industry,26400,,663.1,1013.76,,,,880,Derived,0.754,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,Western Europe,Europe
292,220,47,154,,"Cluster Platform DL380, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Software Company (M),HPE,United States,2016,Industry,26400,,663.1,1013.76,,,,880,Derived,0.754,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
293,222,48,222,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,24048,,662.791,923.443,,,,801.6,Derived,0.827,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
294,223,47,157,,"Lenovo RD940, Xeon E7-4850V2 12C 2.3GHz, 10G Ethernet",Government,Lenovo,China,2015,Government,72000,,662.4,1324.8,4381824,,,2250,Derived,0.294,Cluster,Xeon E7-4850V2 12C 2.3GHz,Intel IvyBridge,2300,Linux,Linux,None,12,Intel Xeon E7 (IvyBridge),Lenovo RD940,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
295,224,46,130,,"Sugon TC6000, Intel Xeon E5-2450v2 8C 2.5GHz, 10G Ethernet",Internet Company,Sugon,China,2015,Industry,52800,,658.7,1056,2916000,,,990,Submitted,0.665,Cluster,Intel Xeon E5-2450v2 8C 2.5GHz,Intel IvyBridge,2500,Linux,Linux,None,8,Intel Xeon E5 (IvyBridge),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
296,225,48,225,,"Lenovo RD350, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Service Provider T,Lenovo,China,2016,Industry,38400,,658.514,1413.12,3919104,,,1200,Derived,0.549,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Lenovo RD350,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
297,226,44,81,Polytechnic RSC Tornado,"RSC Tornado, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR",St. Petersburg Polytechnic University,RSC Group,Russia,2014,Academic,19936,,658.112,829.338,2253120,,,320,Submitted,2.057,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,CentOS,Linux,None,14,Intel Xeon E5 (Haswell),RSC Tornado,RSC Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
298,227,47,160,,"Apollo 6000 XL230a, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Automative Company,HPE,United States,2016,Industry,21600,,657.272,864,,,,1192.5,Derived,0.551,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Apollo 6000 XL230a,HP Apollo,Infiniband,Infiniband FDR,North America,Americas
299,,49,299,DAVIDE,"E4 OP206 cluster, IBM Power8+ 8C 3.26GHz, Infiniband EDR, NVIDIA Tesla P100 SXM2",E4 Computer Engineering,E4 Computer Engineering S.p.A.,Italy,2017,Industry,10800,10080,654.2,991.544,1129856,,,84.77,Submitted,7.717,Cluster,IBM Power8+ 8C 3.26GHz,Power,3259,CentOS,Linux,NVIDIA Tesla P100 SXM2,8,IBM Power8+,E4 OP206 cluster,E4 cluster,Infiniband,Infiniband EDR,Southern Europe,Europe
300,,49,300,,"HC2000 Cluster, Xeon E5-2650v3 10C 2.3GHz, 10G Ethernet, NVIDIA Tesla P40",Internet Company,Sugon,China,2017,Industry,36000,,651.6,1324.8,4816000,,,850,Submitted,0.767,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,CentOS,Linux,NVIDIA Tesla P40,10,Intel Xeon E5 (Haswell),HC2000 Cluster,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
301,,49,301,,"Lenovo RD450, Xeon E5-2640v4 10C 2.4GHz, 10G Ethernet",Network Company,Lenovo,China,2017,Industry,36000,,651.11,1382.4,3394176,,,1350,Derived,0.482,Cluster,Xeon E5-2640v4 10C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,10,Intel Xeon E5 (Broadwell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
302,,49,302,,"Cluster Platform DL360, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Service Provider T,HPE,China,2017,Industry,28296,,643.778,1041.293,,,,943.2,Derived,0.683,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,Eastern Asia,Asia
303,,49,303,,"Lenovo x3650, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Internet Service (B),Lenovo,China,2017,Industry,34720,,641.292,1333.248,2817024,,,930,Derived,0.69,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo x3650,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
