Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
11,,52,11,Lassen,"IBM Power System S922LC, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,248976,218880,15430,19904.4,4640256,,,,,,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,Red Hat Enterprise Linux,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System S922LC, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,Americas,49763,179567
12,10,48,5,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2016,Research,622336,,14014.7,27880.653,6984960,,355.442,3939,Submitted,3.558,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,48429,178924
13,11,51,11,Nurion,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Korea Institute of Science and Technology Information,Cray Inc.,"Korea, South",2018,Research,570020,,13929.3,25705.9,10076976,,391.453,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,CentOS,Linux,None,68,Intel Xeon Phi,Cray CS500,Cray CS,Omnipath,Intel Omni-Path,Eastern Asia,Asia,50770,179421
14,12,48,6,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Joint Center for Advanced High Performance Computing,Fujitsu,Japan,2016,Academic,556104,,13554.6,24913.459,9938880,,385.479,2718.7,Submitted,4.986,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,None,68,Intel Xeon Phi,PRIMERGY CX1640 M1,Fujitsu Cluster,Omnipath,Intel Omni-Path,Eastern Asia,Asia,50673,178932
15,13,51,13,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,253600,177520,12210,18621.138,5947392,,271.872,1320,Optimized,9.25,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum,Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Southern Europe,Europe,50489,179444
16,14,51,14,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),Bull,France,2017,Research,561408,,11965.5,23396.352,10321920,,333.762,3178,Submitted,3.765,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,bullx SCS,Linux,None,68,Intel Xeon Phi,Bull Sequana X1000,Bull Sequana,Custom Interconnect,Bull BXI 1.2,Western Europe,Europe,47593,179412
17,15,49,12,Stampede2,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",Texas Advanced Computing Center/Univ. of Texas,Dell EMC,United States,2017,Academic,367024,,10680.7,18309.222,8242944,,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,CentOS,Linux,None,68,Intel Xeon Phi,PowerEdge C6320P,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,Americas,48958,179045
18,16,37,1,,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",RIKEN Advanced Institute for Computational Science (AICS),Fujitsu,Japan,2011,Research,705024,,10510,11280.384,11870208,,602.736,12659.89,Submitted,0.83,Cluster,SPARC64 VIIIfx 8C 2GHz,Sparc,2000,Linux,Linux,None,8,SPARC64 VIIIfx,K computer,Fujitsu Cluster,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia,50313,177232
19,18,48,12,Marconi Intel Xeon Phi,"CINECA Cluster, Lenovo SD530/S720AP, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",CINECA,Lenovo,Italy,2016,Academic,348000,204000,10384.9,18816,7447776,,68.624,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,None,68,Intel Xeon Phi,CINECA Cluster,CINECA Cluster,Omnipath,Intel Omni-Path,Southern Europe,Europe,47495,178937
20,,52,20,Taiwania 2,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,170352,161280,9000,15208.23,2862720,,,797.54,Submitted,11.285,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold,QCT QuantaGrid D52G-4U/LC,QCT QuantaGrid,Infiniband,Mellanox InfiniBand EDR,Eastern Asia,Asia,48468,179590
21,17,39,3,Mira,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,IBM,United States,2012,Research,786432,,8586.612,10066.33,,,167.049,3945,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas,47347,177718
22,19,49,61,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,135828,120736,8125,12127.069,2126208,,188.62,792.08,Optimized,10.258,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Eastern Asia,Asia,47912,179093
23,20,48,11,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,Cray Inc.,United Kingdom,2016,Research,241920,,7038.93,8128.512,6705408,,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,49064,178925
24,21,48,18,Theta,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ",DOE/SC/Argonne National Laboratory,Cray Inc.,United States,2017,Research,280320,,6920.9,11661.312,7680000,,,,,,MPP,Intel Xeon Phi 7230 64C 1.3GHz,Intel Xeon Phi,1300,Cray Linux Environment ,Linux,None,64,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,47347,178926
25,22,49,13,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,153216,,6470.8,10296.115,5990400,,122.242,1632,Submitted,3.965,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,SUSE Linux,Linux,None,24,Xeon Platinum,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Southern Europe,Europe,49748,179067
26,23,51,23,JUWELS Module 1,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Bull,Germany,2018,Research,114480,,6177.73,9891.072,4996992,,,1361,Submitted,4.539,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,CentOS,Linux,None,24,Xeon Platinum,Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite,Western Europe,Europe,47871,179424
27,24,37,7,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",NASA/Ames Research Center/NAS,HPE,United States,2016,Research,241108,,5951.55,7107.1488,6500160,,175.181,4407,Submitted,1.35,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas,48408,177259
28,26,51,26,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.222,5667840,,,1353.95,Submitted,4.232,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,Cray Linux Environment ,Linux,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,48169,179414
29,25,51,25,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.222,5667840,,,1353.95,Submitted,4.232,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,Cray Linux Environment ,Linux,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,48169,179415
30,27,44,16,Hazel Hen,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ",HLRS - Höchstleistungsrechenzentrum Stuttgart,Cray Inc.,Germany,2015,Research,185088,,5640.17,7403.52,4973760,,137.995,3615,Derived,1.56,MPP,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe,50543,178446
31,28,51,28,COBRA,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Max-Planck-Gesellschaft MPI/IPP,Intel,Germany,2018,Research,127520,,5612.83,9793.536,5213184,,,1635,Submitted,3.433,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,SUSE Linux Enterprise Server 12 SP1,Linux,None,20,Xeon Gold,Intel Compute Module HNS2600BP,Intel Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe,48331,179423
32,29,45,7,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",King Abdullah University of Science and Technology,Cray Inc.,Saudi Arabia,2015,Academic,196608,,5536.99,7235.174,9738048,,113.868,2834,Submitted,1.954,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Asia,Asia,50205,178515
33,,52,33,Electra,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",NASA/Ames Research Center/NAS,HPE,United States,2018,Research,124416,,5444.64,8316.518,6931200,,106.537,1685.73,Submitted,3.23,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,SLES12 SP2,Linux,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,North America,Americas,48408,179589
34,30,41,11,Pangea,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR",Total Exploration Production,HPE,France,2013,Industry,220800,,5283.11,6712.32,4919040,,162.692,4150,Submitted,1.273,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Western Europe,Europe,49546,178071
35,,52,35,Eagle,"HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube",National Renewable Energy Laboratory,HPE,United States,2018,Research,75600,,4850.66,7257.6,4652160,,,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000,CentOS,Linux,None,18,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,EDR Infiniband/ 8D Hypercube,North America,Americas,48481,179598
36,31,48,20,Cheyenne,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",National Center for Atmospheric Research (NCAR),HPE,United States,2016,Research,144900,,4788.19,5332.32,5171520,,87.28,1727,Submitted,2.773,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,SUSE Linux Enterprise Server 12 SP1,Linux,None,18,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,Americas,48418,178965
37,32,51,32,ITO - Subsystem A,"Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR","Research Institute for Information Technology, Kyushu University",Fujitsu,Japan,2018,Academic,72000,,4540.69,6912,5753080,,62.908,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000,Redhat Enterprise Linux 7,Linux,None,18,Xeon Gold,Fujitsu PRIMERGY CX2550/CX2560 M4,Fujitsu PRIMERGY,Infiniband,Mellanox InfiniBand EDR,Eastern Asia,Asia,50421,179429
38,,52,38,Advanced Computing System(PreE),"Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",Sugon,Sugon,China,2018,Vendor,163840,131072,4325,6134.1696,1876000,,,380,Submitted,11.382,Cluster,Hygon Dhyana 32C 2GHz,AMD x86_64,2000,CentOS,Linux,Deep Computing Processor,32,Hygon Dhyana,Sugon TC8600,Sugon Cluster,Gigabit Ethernet,200Gb 6D-Torus,Eastern Asia,Asia,50797,179593
39,33,39,48,Vulcan,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",DOE/NNSA/LLNL,IBM,United States,2012,Research,393216,,4293.306,5033.165,,,80.894,1972,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas,49763,177732
40,34,51,34,JOLIOT-CURIE SKL,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",CEA/TGCC-GENCI,Bull,France,2017,Research,79488,,4065.55,6635.52,5861568,,52.684,917,Submitted,4.434,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,bullx SCS,Linux,None,24,Xeon Platinum,Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox InfiniBand EDR,Western Europe,Europe,50414,179411
41,35,45,12,Abel,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Petroleum Geo-Services,Cray Inc.,United States,2015,Industry,145920,,4042.46,5369.856,8338176,,,1800,Submitted,2.246,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,48602,178556
42,37,47,18,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2016,Research,126468,,3944.68,4249.325,7171008,,65.457,1897.02,Derived,2.079,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,47752,178749
43,36,43,19,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2016,Research,126468,,3944.68,4249.325,7171008,,65.457,1897.02,Derived,2.079,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,47752,178431
44,38,46,49,JURECA,"T-Platforms V-Class/Dell C6320P, E5-2680v3/Phi 7250-F, EDR/Intel Omni-Path/ParTec ParaStation, Tesla K80/K40",Forschungszentrum Juelich (FZJ),"T-Platforms, Intel, Dell",Germany,2015,Research,155150,4110,3782.57,6563.84,5321904,,68.343,1345.28,Submitted,2.812,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,NVIDIA Tesla K80,12,Intel Xeon E5 (Haswell),T-Platforms V-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband EDR,Western Europe,Europe,47871,178718
45,39,51,39,Pratyush,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Indian Institute of Tropical Meteorology,Cray Inc.,India,2018,Research,119232,,3763.94,4006.195,5935104,,,1353.23,Submitted,2.781,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,South-central Asia,Asia,50296,179416
46,41,45,13,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray Inc.,United States,2015,Government,72800,62400,3577,6131.84,2336000,,,1498.9,Submitted,2.386,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,Americas,50046,178519
47,40,44,10,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray Inc.,United States,2014,Government,72800,62400,3577,6131.84,2336000,,,1498.9,Submitted,2.386,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,Americas,50046,178445
48,42,49,29,ONYX,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz/Xeon E5-2699v4, Aries interconnect ",ERDC DSRC,Cray Inc.,United States,2017,Research,160304,,3409.61,5865.5232,3388608,,,,,,MPP,Intel Xeon Phi 7230 64C 1.3GHz,Intel Xeon Phi,1300,Cray Linux Environment ,Linux,None,64,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,47771,179100
49,44,45,15,Topaz,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR",ERDC DSRC,HPE,United States,2015,Research,124200,,3318.95,4570.56,5779200,,,5175,Derived,0.641,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,2300,SUSE Linux Enterprise Server 11,Linux,None,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,Americas,47771,178523
50,45,49,31,,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",Facebook,Self-made,United States,2017,Industry,60512,55552,3307,4896.512,1419545,,,349.5,Submitted,9.462,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu Linux,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1/Relion 2904GT,Hybrid Cluster,Infiniband,Infiniband EDR,North America,Americas,50701,179068
51,46,48,28,DGX Saturn V,"NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",NVIDIA Corporation,Nvidia,United States,2016,Industry,60512,55552,3307,4896.512,1419552,,67.422,349.5,Submitted,9.462,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu 14.04,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1,NVIDIA DGX,Infiniband,Infiniband EDR,North America,Americas,48448,178928
52,,52,52,Joule 2.0,"HP ProLiant XL170r/XL190r/DL360 Gen10, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100",DOE/National Energy Technology Laboratory,HPE,United States,2018,Research,78720,11200,3275.67,5170.176,4343424,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla P100,20,Xeon Gold,HP ProLiant XL170r/XL190r/DL360 Gen10,HP Cluster,Omnipath,Intel Omni-Path,North America,Americas,50452,179599
53,47,51,47,Damson,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",AWE,Bull,United Kingdom,2017,Research,113832,,3243.41,3791.5776,5543424,,,1134,Submitted,2.86,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,bullx SCS,Linux,None,18,Intel Xeon E5 (Broadwell),Bull Sequana X1000,Bull Sequana,Infiniband,Infiniband EDR,Northern Europe,Europe,47363,179409
