Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Power Source,Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
11,386,,"Huawei G5500, Xeon E5-2650v4 12C 2.2GHz, NVIDIA Tesla V100, 100G Ethernet",Telecom Company,Huawei,China,2018,Industry,23904,23040,1154.8,1964.909,107.14,Submitted,10.778,,,864,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Linux,Linux,NVIDIA Tesla V100,12,Intel Xeon E5 (Broadwell),Huawei G5500,Huawei Cluster,Gigabit Ethernet,100G Ethernet,Eastern Asia,Asia,50593,179597
12,369,Wilkes-2,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",University of Cambridge,Dell EMC,United Kingdom,2017,Academic,21240,20160,1193,1751.616,114.4,Submitted,10.428,,,20768,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Scientific Linux,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,Northern Europe,Europe,49143,179044
13,17,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,253600,177520,12210,18621.138,1320,Optimized,9.804,Optimized,1,74976,11490,1172,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum,Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Southern Europe,Europe,50489,179444
14,106,Béluga,"Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR",Calcul Québec/Compute Canada,Dell EMC,Canada,2019,Academic,72480,55040,2278,7494.784,240,Submitted,9.492,,2,5040,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,Linux,NVIDIA Tesla V100,20,Xeon Gold,Dell EMC PowerEdge R640,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,Americas,50800,179605
15,60,,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",Facebook,Self-made,United States,2017,Industry,60512,55552,3307,4896.512,349.5,Submitted,9.462,,2,4960,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu Linux,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1/Relion 2904GT,Hybrid Cluster,Infiniband,Infiniband EDR,North America,Americas,50701,179068
16,61,DGX Saturn V,"NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",NVIDIA Corporation,Nvidia,United States,2016,Industry,60512,55552,3307,4896.512,349.5,Submitted,9.462,,,,,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,Ubuntu 14.04,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1,NVIDIA DGX,Infiniband,Infiniband EDR,North America,Americas,48448,178928
17,285,,"Huawei G5500, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, 100G Ethernet",Chinese Bank A,Huawei,China,2018,Others,26180,24640,1432.9,2153.536,159.94,Submitted,8.959,,,1540,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Huawei G5500,Huawei Cluster,Gigabit Ethernet,100G Ethernet,Eastern Asia,Asia,50794,179573
18,6,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,2017,Research,387872,319424,21230,27154.3,2384.24,Submitted,8.904,,3,387872,,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe,50422,177824
19,346,Era-AI,"Sugon Cluster W780I, Xeon E5-2650v4 12C 2.2GHz, NVIDIA Tesla P100, Infiniband FDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2017,Academic,22656,21504,1238,1845.3504,144,Submitted,8.597,,,22656,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Sugon Cluster W780I,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,47553,179247
20,312,Cedar,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path, NVIDIA Tesla P100",Simon Fraser University/Compute Canada,Dell EMC,Canada,2017,Academic,35712,32256,1337,2863.411,167,Submitted,8.006,,1,3456,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,Americas,50722,179113
21,318,,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Cloud Company,Sugon,China,2018,Industry,28884,26560,1314,2319.286,165,Submitted,7.964,,,28884,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,CentOS,Linux,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Eastern Asia,Asia,50775,179550
22,301,GCloud,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",MCloud Company,Sugon,China,2018,Industry,30624,28160,1389,2459.002,176,Submitted,7.892,,,30624,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,CentOS,Linux,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Eastern Asia,Asia,50788,179554
23,146,JGV100System,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,41760,38400,1825,3353.184,240,Submitted,7.604,,,41760,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,CentOS,Linux,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Eastern Asia,Asia,50598,179555
24,142,Fênix,"SYS-1029GQ-TRT, Xeon Gold 5122 4C 3.6GHz, Infiniband EDR, NVIDIA Tesla V100",Petróleo Brasileiro S.A,Bull,Brazil,2019,Industry,48384,46080,1836,4297.421,287,Submitted,6.397,,,,,,Cluster,Xeon Gold 5122 4C 3.6GHz,Intel Skylake,3600,CentOS,Linux,NVIDIA Tesla V100,4,Xeon Gold,SYS-1029GQ-TRT,Supermicro SuperServer,Infiniband,Infiniband EDR,South America,Americas,49587,179681
25,3,Sunway TaihuLight,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",National Supercomputing Center in Wuxi,NRCPC,China,2016,Research,10649600,,93014.59388,125435.904,15371,Submitted,6.051,,2,,,,MPP,Sunway SW26010 260C 1.45GHz,ShenWei,1450,Sunway RaiseOS 2.0.5,Linux,None,260,Sunway,Sunway MPP,Sunway Cluster,Custom Interconnect,Sunway,Eastern Asia,Asia,50623,178764
26,290,XJSCSystem,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, Infiniband FDR",Xinjiang SC Center,Sugon,China,2018,Government,30240,26880,1418,2413.824,240,Submitted,5.908,,,30240,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,CentOS,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,50790,179557
27,311,Earth Bigdata,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2019,Academic,24000,,1344,1920,230,Submitted,5.843,,,24000,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,47553,179683
28,45,Oakbridge-CX,"Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2019,Academic,76608,,4289.85,6618.931,845.09,Submitted,5.076,,2,19040,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,2700,Linux,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),Fujitsu PRIMERGY CX2550/CX2560 M5,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Eastern Asia,Asia,50096,179606
29,16,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Joint Center for Advanced High Performance Computing,Fujitsu,Japan,2016,Academic,556104,,13554.6,24913.459,2718.7,Submitted,4.986,,2,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,None,68,Intel Xeon Phi,PRIMERGY CX1640 M1,Fujitsu Cluster,Omnipath,Intel Omni-Path,Eastern Asia,Asia,50673,178932
30,133,MagicCube3,"Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100",Shanghai Supercomputer Center,Sugon,China,2019,Research,41472,5120,1952,3472.486,410,Submitted,4.761,,,35840,,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Omnipath,Intel Omni-Path,Eastern Asia,Asia,49697,179695
31,69,Niagara,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",SciNet/University of Toronto/Compute Canada,Lenovo,Canada,2017,Research,60000,,3074.19,4608,676.3,Submitted,4.546,,1,60000,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,Infiniband EDR,North America,Americas,50206,179408
32,30,JUWELS Module 1,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Bull,Germany,2018,Research,114480,,6177.73,9891.072,1361,Submitted,4.539,,2,120528,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,CentOS,Linux,None,24,Xeon Platinum,Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite,Western Europe,Europe,47871,179424
33,47,JOLIOT-CURIE SKL,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",CEA/TGCC-GENCI,Bull,France,2017,Research,79488,,4065.55,6635.52,917,Submitted,4.434,,,79488,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,bullx SCS,Linux,None,24,Xeon Platinum,Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox InfiniBand EDR,Western Europe,Europe,50414,179411
34,320,AIGIS,"Sugon Cluster W780I, Xeon E5-2630v4 10C 2.2GHz, NVIDIA Tesla P100, Infiniband FDR",Government,Sugon,China,2017,Government,24400,22400,1307,1950.4,300,Submitted,4.357,,,24400,,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,NVIDIA Tesla P100,10,Intel Xeon E5 (Broadwell),Sugon Cluster W780I,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia,50366,179254
35,107,Cumulus,"PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path",University of Cambridge,Dell EMC,United Kingdom,2018,Academic,50176,,2271.38,2688,530,Submitted,4.286,,,58752,,,Cluster,Xeon Gold 6142F 16C 2.6GHz,Intel Skylake,2600,Scientific Linux,Linux,None,16,Xeon Gold,PowerEdge C6420/C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Northern Europe,Europe,49143,179577
36,32,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.222,1353.95,Submitted,4.232,,,,,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,Cray Linux Environment ,Linux,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,48169,179414
37,33,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.222,1353.95,Submitted,4.232,,,,,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,Cray Linux Environment ,Linux,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,48169,179415
38,117,ATERUI II ,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",National Astronomical Observatory of Japan,Cray Inc.,Japan,2018,Academic,40000,,2089.98,3072,495.86,Submitted,4.215,,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,50097,179419
39,70,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Cray Inc.,Japan,2016,Academic,122400,,3057.35,5483.52,748.1,Submitted,4.087,,,,,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,50516,178927
40,319,JOLIOT-CURIE KNL,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",CEA/TGCC-GENCI,Bull,France,2017,Research,56304,,1311.33,2339.6352,326,Submitted,4.022,,2,56304,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,bullx SCS,Linux,None,68,Intel Xeon Phi,Bull Sequana X1000,Bull Sequana,Custom Interconnect,Bull BXI 1.2,Western Europe,Europe,50414,179394
41,296,GSACC,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 100Gb 6D-Torus",GanSu Advanced Computing Center,Sugon,China,2018,Government,28000,,1405,2329.6,350,Submitted,4.014,,,28000,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,100Gb 6D-Torus,Eastern Asia,Asia,50780,179529
42,80,JFRS-1,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ","Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology",Cray Inc.,Japan,2018,Research,54560,,2787.14,4190.208,697.51,Submitted,3.996,,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Asia,Asia,50767,179417
43,314,Taiwania,"PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",National Center for High Performance Computing,Fujitsu,Taiwan,2017,Research,27200,,1325.15,2088.96,332,Submitted,3.991,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Eastern Asia,Asia,48468,179170
44,29,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,153216,,6470.8,10296.115,1632,Submitted,3.965,,,153216,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,SUSE Linux,Linux,None,24,Xeon Platinum,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Southern Europe,Europe,49748,179067
45,127,Gaïa,"Bull intel Cluster, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",EDF,Bull,France,2018,Industry,41472,,1980.53,3052.339,512,Submitted,3.868,,1,41472,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,Calibre OS,Linux,None,18,Xeon Gold,Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe,50679,179569
46,348,TYACC-System,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 100Gb 6D-Torus",Taiyuan Advanced Computing Center,Sugon,China,2018,Government,24640,,1237,2050.048,320,Submitted,3.866,,,24640,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,100Gb 6D-Torus,Eastern Asia,Asia,50791,179558
47,103,Makman-3,"PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",Saudi Aramco,Dell EMC,Saudi Arabia,2018,Industry,53300,,2322.46,3581.76,608,Submitted,3.82,,,53300,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,RHEL 7.4,Linux,None,16,Xeon Gold,PowerEdge R440,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Western Asia,Asia,48751,179437
48,18,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),Bull,France,2017,Research,561408,,11965.5,23396.352,3178,Submitted,3.765,,2,563040,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,bullx SCS,Linux,None,68,Intel Xeon Phi,Bull Sequana X1000,Bull Sequana,Custom Interconnect,Bull BXI 1.2,Western Europe,Europe,47593,179412
49,313,,"HPE SGI 8600, Xeon Gold 6148 20C 2.4GHz, 4xEDR Infiniband",Central Research Institute of Electric Power Industry/CRIEPI,HPE,Japan,2018,Research,26400,,1326.25,2027.52,357.55,Submitted,3.709,,1,25920,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Red Hat Enterprise Linux,Linux,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,4xEDR Infiniband,Eastern Asia,Asia,47530,179563
50,135,CTcluster,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2018,Industry,54000,,1928,3974.4,520,Submitted,3.708,,,54000,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Eastern Asia,Asia,50591,179535
51,92,CLAIX (2018),"INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Universitaet Aachen/RWTH - IT Center,NEC,Germany,2018,Academic,61200,,2483.58,4112.64,692.05,Submitted,3.589,,1,61200,,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,24,Xeon Platinum,INTEL-HNS2600BPB,NEC Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe,50675,179682
52,88,PAI-BSystem,"Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100",China Meteorological Administration,Sugon,China,2018,Research,50816,2688,2547,4229.8496,710,Submitted,3.587,,,48128,,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,RHEL 7.3,Linux,NVIDIA Tesla P100,16,Xeon Gold,Sugon TC4600LP,Sugon Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,47551,179440
